src_ip,dst_ip,protocol,length,time
192.168.1.5,34.139.124.58,6,85,1744613796.425817
34.139.124.58,192.168.1.5,6,425,1744613796.427748
34.139.124.58,192.168.1.5,6,425,1744613796.427748
192.168.1.5,34.139.124.58,6,54,1744613796.427799
192.168.1.5,34.139.124.58,6,268,1744613796.430911
192.168.1.5,34.139.124.58,6,1474,1744613796.430999
192.168.1.5,34.139.124.58,6,666,1744613796.430999
192.168.1.5,34.139.124.58,6,148,1744613796.431369
192.168.1.5,34.139.124.58,6,614,1744613796.431432
34.139.124.58,192.168.1.5,6,54,1744613796.695604
34.139.124.58,192.168.1.5,6,1474,1744613796.695604
34.139.124.58,192.168.1.5,6,1474,1744613796.695604
34.139.124.58,192.168.1.5,6,405,1744613796.695604
34.139.124.58,192.168.1.5,6,54,1744613796.695604
34.139.124.58,192.168.1.5,6,1474,1744613796.695604
34.139.124.58,192.168.1.5,6,1474,1744613796.695604
34.139.124.58,192.168.1.5,6,405,1744613796.695604
192.168.1.5,34.139.124.58,6,54,1744613796.695851
192.168.1.5,34.139.124.58,6,134,1744613796.697029
34.139.124.58,192.168.1.5,6,54,1744613796.699796
34.139.124.58,192.168.1.5,6,89,1744613796.699796
192.168.1.5,34.139.124.58,6,54,1744613796.695851
192.168.1.5,34.139.124.58,6,134,1744613796.697029
34.139.124.58,192.168.1.5,6,54,1744613796.699796
34.139.124.58,192.168.1.5,6,89,1744613796.699796
34.139.124.58,192.168.1.5,6,54,1744613796.699796
34.139.124.58,192.168.1.5,6,54,1744613796.699796
34.139.124.58,192.168.1.5,6,89,1744613796.702291
34.139.124.58,192.168.1.5,6,54,1744613796.699796
34.139.124.58,192.168.1.5,6,54,1744613796.699796
34.139.124.58,192.168.1.5,6,89,1744613796.702291
192.168.1.5,34.139.124.58,6,54,1744613796.702341
192.168.1.5,34.139.124.58,6,54,1744613796.702341
34.139.124.58,192.168.1.5,6,487,1744613796.710355
34.139.124.58,192.168.1.5,6,85,1744613796.710355
192.168.1.5,34.139.124.58,6,54,1744613796.710419
34.139.124.58,192.168.1.5,6,487,1744613796.710355
34.139.124.58,192.168.1.5,6,85,1744613796.710355
192.168.1.5,34.139.124.58,6,54,1744613796.710419
34.139.124.58,192.168.1.5,6,487,1744613796.713806
34.139.124.58,192.168.1.5,6,487,1744613796.713806
34.139.124.58,192.168.1.5,6,85,1744613796.713806
192.168.1.5,34.139.124.58,6,54,1744613796.713857
34.139.124.58,192.168.1.5,6,85,1744613796.713806
192.168.1.5,34.139.124.58,6,54,1744613796.713857
0.0.0.0,255.255.255.255,17,364,1744613796.898712
0.0.0.0,255.255.255.255,17,364,1744613796.898712
192.168.1.14,224.0.0.2,2,46,1744613796.904078
192.168.1.14,224.0.0.2,2,46,1744613796.904078
192.168.1.14,224.0.0.252,17,75,1744613796.904078
192.168.1.14,224.0.0.252,17,75,1744613796.904078
34.139.124.58,192.168.1.5,6,133,1744613796.961192
34.139.124.58,192.168.1.5,6,133,1744613796.961192
34.139.124.58,192.168.1.5,6,116,1744613796.961192
192.168.1.5,34.139.124.58,6,54,1744613796.961334
34.139.124.58,192.168.1.5,6,133,1744613796.961192
34.139.124.58,192.168.1.5,6,133,1744613796.961192
34.139.124.58,192.168.1.5,6,116,1744613796.961192
192.168.1.5,34.139.124.58,6,54,1744613796.961334
192.168.1.14,224.0.0.252,17,75,1744613797.206532
192.168.1.14,224.0.0.252,17,75,1744613797.206532
192.168.1.14,224.0.0.2,2,46,1744613797.616762
192.168.1.14,224.0.0.2,2,46,1744613797.616762
192.168.1.14,224.0.0.252,17,75,1744613797.616762
192.168.1.14,224.0.0.252,17,75,1744613797.616762
192.168.1.1,192.168.1.255,17,363,1744613797.819843
192.168.1.1,192.168.1.255,17,363,1744613797.819843
34.139.124.58,192.168.1.5,6,66,1744613798.025249
192.168.1.14,224.0.0.252,17,75,1744613798.025369
34.139.124.58,192.168.1.5,6,66,1744613798.025249
192.168.1.14,224.0.0.252,17,75,1744613798.025369
192.168.1.14,224.0.0.2,2,46,1744613798.435214
192.168.1.14,224.0.0.252,17,75,1744613798.435214
192.168.1.14,224.0.0.2,2,46,1744613798.435214
192.168.1.14,224.0.0.252,17,75,1744613798.435214
192.168.1.14,224.0.0.2,2,46,1744613798.435214
192.168.1.14,224.0.0.252,17,75,1744613798.435214
192.168.1.14,224.0.0.2,2,46,1744613798.435214
192.168.1.14,224.0.0.252,17,75,1744613798.435214
192.168.1.5,34.139.124.58,6,144,1744613798.842256
192.168.1.5,34.139.124.58,6,144,1744613798.843358
192.168.1.5,34.139.124.58,6,144,1744613798.842256
192.168.1.5,34.139.124.58,6,144,1744613798.843358
192.168.1.5,34.139.124.58,6,1474,1744613798.843524
192.168.1.5,34.139.124.58,6,666,1744613798.843524
192.168.1.5,34.139.124.58,6,614,1744613798.843606
192.168.1.5,34.139.124.58,6,1474,1744613798.843524
192.168.1.5,34.139.124.58,6,666,1744613798.843524
192.168.1.5,34.139.124.58,6,614,1744613798.843606
192.168.1.14,224.0.0.252,17,75,1744613798.844205
192.168.1.14,224.0.0.252,17,75,1744613798.844205
34.139.124.58,192.168.1.5,6,54,1744613799.1515
34.139.124.58,192.168.1.5,6,54,1744613799.1515
34.139.124.58,192.168.1.5,6,102,1744613799.1515
34.139.124.58,192.168.1.5,6,487,1744613799.1515
34.139.124.58,192.168.1.5,6,85,1744613799.1515
34.139.124.58,192.168.1.5,6,487,1744613799.1515
34.139.124.58,192.168.1.5,6,85,1744613799.1515
192.168.1.5,34.139.124.58,6,54,1744613799.151645
34.139.124.58,192.168.1.5,6,54,1744613799.1515
34.139.124.58,192.168.1.5,6,54,1744613799.1515
34.139.124.58,192.168.1.5,6,102,1744613799.1515
34.139.124.58,192.168.1.5,6,487,1744613799.1515
34.139.124.58,192.168.1.5,6,85,1744613799.1515
34.139.124.58,192.168.1.5,6,487,1744613799.1515
34.139.124.58,192.168.1.5,6,85,1744613799.1515
192.168.1.5,34.139.124.58,6,54,1744613799.151645
192.168.1.1,224.0.0.1,2,46,1744613799.179358
192.168.1.1,224.0.0.1,2,46,1744613799.179358
192.168.1.5,140.82.112.25,6,55,1744613801.055599
192.168.1.5,140.82.112.25,6,55,1744613801.055599
140.82.112.25,192.168.1.5,6,66,1744613801.40472
140.82.112.25,192.168.1.5,6,66,1744613801.40472
192.168.1.5,34.139.124.58,6,148,1744613802.047844
192.168.1.5,34.139.124.58,6,148,1744613802.04799
192.168.1.5,34.139.124.58,6,148,1744613802.047844
192.168.1.5,34.139.124.58,6,148,1744613802.04799
192.168.1.5,224.0.0.251,17,85,1744613802.308255
192.168.1.5,224.0.0.251,17,85,1744613802.308255
34.139.124.58,192.168.1.5,6,54,1744613802.319474
34.139.124.58,192.168.1.5,6,54,1744613802.319474
34.139.124.58,192.168.1.5,6,424,1744613802.320838
34.139.124.58,192.168.1.5,6,424,1744613802.320946
192.168.1.5,34.139.124.58,6,54,1744613802.321005
192.168.1.5,34.139.124.58,6,144,1744613802.324399
192.168.1.5,34.139.124.58,6,148,1744613802.324518
192.168.1.5,34.139.124.58,6,614,1744613802.324606
192.168.1.5,34.139.124.58,6,1474,1744613802.324643
192.168.1.5,34.139.124.58,6,667,1744613802.324643
34.139.124.58,192.168.1.5,6,424,1744613802.320838
34.139.124.58,192.168.1.5,6,424,1744613802.320946
192.168.1.5,34.139.124.58,6,54,1744613802.321005
192.168.1.5,34.139.124.58,6,144,1744613802.324399
192.168.1.5,34.139.124.58,6,148,1744613802.324518
192.168.1.5,34.139.124.58,6,614,1744613802.324606
192.168.1.5,34.139.124.58,6,1474,1744613802.324643
192.168.1.5,34.139.124.58,6,667,1744613802.324643
34.139.124.58,192.168.1.5,6,54,1744613802.594009
34.139.124.58,192.168.1.5,6,102,1744613802.594009
34.139.124.58,192.168.1.5,6,54,1744613802.594009
34.139.124.58,192.168.1.5,6,54,1744613802.594009
34.139.124.58,192.168.1.5,6,102,1744613802.594009
34.139.124.58,192.168.1.5,6,54,1744613802.594009
192.168.1.5,239.255.255.250,2,46,1744613802.604037
34.139.124.58,192.168.1.5,6,487,1744613802.605875
34.139.124.58,192.168.1.5,6,85,1744613802.605875
34.139.124.58,192.168.1.5,6,487,1744613802.605875
34.139.124.58,192.168.1.5,6,85,1744613802.605875
192.168.1.5,34.139.124.58,6,54,1744613802.605926
192.168.1.5,34.139.124.58,6,89,1744613802.606558
192.168.1.5,239.255.255.250,2,46,1744613802.604037
34.139.124.58,192.168.1.5,6,487,1744613802.605875
34.139.124.58,192.168.1.5,6,85,1744613802.605875
34.139.124.58,192.168.1.5,6,487,1744613802.605875
34.139.124.58,192.168.1.5,6,85,1744613802.605875
192.168.1.5,34.139.124.58,6,54,1744613802.605926
192.168.1.5,34.139.124.58,6,89,1744613802.606558
34.139.124.58,192.168.1.5,6,54,1744613802.91611
34.139.124.58,192.168.1.5,6,54,1744613802.91611
192.168.1.14,224.0.0.252,17,75,1744613803.16744
192.168.1.14,224.0.0.252,17,75,1744613803.16744
0.0.0.0,255.255.255.255,17,364,1744613803.247607
0.0.0.0,255.255.255.255,17,364,1744613803.247607
192.168.1.5,224.0.0.251,17,85,1744613803.319727
192.168.1.5,224.0.0.251,17,85,1744613803.319727
192.168.1.14,224.0.0.252,17,75,1744613803.581859
192.168.1.14,224.0.0.252,17,75,1744613803.581859
192.168.1.5,224.0.0.251,2,46,1744613803.599015
192.168.1.5,224.0.0.251,2,46,1744613803.599015
192.168.1.14,224.0.0.252,17,75,1744613803.992264
192.168.1.14,224.0.0.252,17,75,1744613803.992264
192.168.1.14,224.0.0.251,17,82,1744613804.290472
192.168.1.14,224.0.0.251,17,82,1744613804.290472
192.168.1.14,224.0.0.252,17,75,1744613804.403026
192.168.1.14,224.0.0.252,17,75,1744613804.403026
192.168.1.5,34.237.73.95,6,294,1744613804.595921
192.168.1.5,34.237.73.95,6,294,1744613804.595921
34.237.73.95,192.168.1.5,6,316,1744613804.832811
34.237.73.95,192.168.1.5,6,316,1744613804.832811
192.168.1.5,34.237.73.95,6,54,1744613804.876728
192.168.1.5,34.237.73.95,6,54,1744613804.876728
192.168.1.1,192.168.1.255,17,363,1744613804.887273
192.168.1.1,192.168.1.255,17,363,1744613804.887273
192.168.1.5,34.139.124.58,6,148,1744613805.172689
192.168.1.5,34.139.124.58,6,1474,1744613805.17279
192.168.1.5,34.139.124.58,6,665,1744613805.17279
192.168.1.5,34.139.124.58,6,148,1744613805.172689
192.168.1.5,34.139.124.58,6,1474,1744613805.17279
192.168.1.5,34.139.124.58,6,665,1744613805.17279
192.168.1.5,34.139.124.58,6,144,1744613805.264165
192.168.1.5,34.139.124.58,6,614,1744613805.26424
192.168.1.5,34.139.124.58,6,144,1744613805.264165
192.168.1.5,34.139.124.58,6,614,1744613805.26424
192.168.1.14,224.0.0.251,17,82,1744613805.293528
192.168.1.14,224.0.0.251,17,82,1744613805.293528
192.168.1.5,34.139.124.58,6,54,1744613805.404234
192.168.1.5,142.250.183.2,17,1292,1744613805.411238
192.168.1.5,142.250.183.2,17,1292,1744613805.411301
192.168.1.5,34.139.124.58,6,54,1744613805.404234
34.139.124.58,192.168.1.5,6,54,1744613805.443629
34.139.124.58,192.168.1.5,6,54,1744613805.443629
34.139.124.58,192.168.1.5,6,89,1744613805.443629
34.139.124.58,192.168.1.5,6,487,1744613805.44972
192.168.1.5,34.139.124.58,6,54,1744613805.44978
34.139.124.58,192.168.1.5,6,85,1744613805.449991
142.250.183.2,192.168.1.5,17,82,1744613805.45391
192.168.1.5,142.250.183.2,17,1292,1744613805.411238
192.168.1.5,142.250.183.2,17,1292,1744613805.411301
142.250.183.2,192.168.1.5,17,1292,1744613805.475221
142.250.183.2,192.168.1.5,17,1292,1744613805.475221
142.250.183.2,192.168.1.5,17,1292,1744613805.475221
192.168.1.5,142.250.183.2,17,1292,1744613805.475855
192.168.1.5,142.250.183.2,6,66,1744613805.484756
192.168.1.5,142.250.183.2,17,79,1744613805.498015
34.139.124.58,192.168.1.5,6,54,1744613805.443629
34.139.124.58,192.168.1.5,6,54,1744613805.443629
34.139.124.58,192.168.1.5,6,89,1744613805.443629
192.168.1.5,34.139.124.58,6,54,1744613805.502807
142.250.183.2,192.168.1.5,17,1292,1744613805.512966
142.250.183.2,192.168.1.5,17,1292,1744613805.512966
142.250.183.2,192.168.1.5,17,1273,1744613805.512966
192.168.1.5,142.250.183.2,17,81,1744613805.51332
192.168.1.5,142.250.183.2,17,82,1744613805.515736
192.168.1.5,142.250.183.2,17,125,1744613805.516149
192.168.1.5,142.250.183.2,17,116,1744613805.516278
192.168.1.5,142.250.183.2,17,783,1744613805.516761
34.139.124.58,192.168.1.5,6,487,1744613805.44972
192.168.1.5,34.139.124.58,6,54,1744613805.44978
34.139.124.58,192.168.1.5,6,85,1744613805.449991
142.250.183.2,192.168.1.5,17,82,1744613805.45391
142.250.183.2,192.168.1.5,6,66,1744613805.532523
192.168.1.5,142.250.183.2,6,54,1744613805.53264
192.168.1.5,142.250.183.2,6,1466,1744613805.533418
192.168.1.5,142.250.183.2,6,472,1744613805.533418
34.139.124.58,192.168.1.5,6,54,1744613805.534392
34.139.124.58,192.168.1.5,6,89,1744613805.534392
34.139.124.58,192.168.1.5,6,487,1744613805.539034
34.139.124.58,192.168.1.5,6,85,1744613805.539034
192.168.1.5,34.139.124.58,6,54,1744613805.539116
142.250.183.2,192.168.1.5,17,1292,1744613805.540702
142.250.183.2,192.168.1.5,17,152,1744613805.540702
192.168.1.5,142.250.183.2,17,206,1744613805.541088
192.168.1.5,142.250.183.2,17,874,1744613805.541495
142.250.183.2,192.168.1.5,17,1004,1744613805.558662
142.250.183.2,192.168.1.5,17,163,1744613805.558662
142.250.183.2,192.168.1.5,17,69,1744613805.558662
192.168.1.5,142.250.183.2,17,76,1744613805.559059
192.168.1.5,142.250.183.2,17,75,1744613805.559139
192.168.1.5,142.250.183.2,17,75,1744613805.5592
142.250.183.2,192.168.1.5,17,1292,1744613805.475221
142.250.183.2,192.168.1.5,17,1292,1744613805.475221
142.250.183.2,192.168.1.5,17,1292,1744613805.475221
192.168.1.5,142.250.183.2,17,1292,1744613805.475855
142.250.183.2,192.168.1.5,6,66,1744613805.579845
142.250.183.2,192.168.1.5,6,54,1744613805.579845
142.250.183.2,192.168.1.5,17,67,1744613805.583238
142.250.183.2,192.168.1.5,17,69,1744613805.583912
192.168.1.5,142.250.183.2,6,66,1744613805.484756
192.168.1.5,142.250.183.2,17,79,1744613805.498015
192.168.1.5,34.139.124.58,6,54,1744613805.502807
142.250.183.2,192.168.1.5,17,1292,1744613805.512966
142.250.183.2,192.168.1.5,17,1292,1744613805.512966
142.250.183.2,192.168.1.5,17,1273,1744613805.512966
192.168.1.5,142.250.183.2,17,81,1744613805.51332
192.168.1.5,142.250.183.2,17,82,1744613805.515736
192.168.1.5,142.250.183.2,17,125,1744613805.516149
192.168.1.5,142.250.183.2,17,116,1744613805.516278
192.168.1.5,142.250.183.2,17,783,1744613805.516761
142.250.183.2,192.168.1.5,6,66,1744613805.532523
192.168.1.5,142.250.183.2,6,54,1744613805.53264
192.168.1.5,142.250.183.2,6,1466,1744613805.533418
192.168.1.5,142.250.183.2,6,472,1744613805.533418
34.139.124.58,192.168.1.5,6,54,1744613805.534392
34.139.124.58,192.168.1.5,6,89,1744613805.534392
34.139.124.58,192.168.1.5,6,487,1744613805.539034
34.139.124.58,192.168.1.5,6,85,1744613805.539034
192.168.1.5,34.139.124.58,6,54,1744613805.539116
142.250.183.2,192.168.1.5,17,1292,1744613805.540702
142.250.183.2,192.168.1.5,17,152,1744613805.540702
192.168.1.5,142.250.183.2,17,206,1744613805.541088
192.168.1.5,142.250.183.2,17,874,1744613805.541495
142.250.183.2,192.168.1.5,17,1004,1744613805.558662
142.250.183.2,192.168.1.5,17,163,1744613805.558662
142.250.183.2,192.168.1.5,17,69,1744613805.558662
192.168.1.5,142.250.183.2,17,76,1744613805.559059
192.168.1.5,142.250.183.2,17,75,1744613805.559139
142.250.183.2,192.168.1.5,17,374,1744613805.6444
192.168.1.5,142.250.183.2,17,75,1744613805.5592
142.250.183.2,192.168.1.5,6,66,1744613805.579845
142.250.183.2,192.168.1.5,6,54,1744613805.579845
142.250.183.2,192.168.1.5,17,67,1744613805.583238
142.250.183.2,192.168.1.5,17,69,1744613805.583912
142.250.183.2,192.168.1.5,17,63,1744613805.6444
142.250.183.2,192.168.1.5,6,1466,1744613805.6444
142.250.183.2,192.168.1.5,6,1466,1744613805.6444
142.250.183.2,192.168.1.5,6,1466,1744613805.6444
142.250.183.2,192.168.1.5,6,1198,1744613805.6444
192.168.1.5,142.250.183.2,6,54,1744613805.644635
192.168.1.5,142.250.183.2,17,77,1744613805.644952
192.168.1.5,142.250.183.2,6,128,1744613805.650599
34.139.124.58,192.168.1.5,6,54,1744613805.66618
192.168.1.5,34.139.124.58,6,54,1744613805.666244
142.250.183.2,192.168.1.5,17,374,1744613805.6444
142.250.183.2,192.168.1.5,17,63,1744613805.6444
142.250.183.2,192.168.1.5,6,1466,1744613805.6444
142.250.183.2,192.168.1.5,6,1466,1744613805.6444
142.250.183.2,192.168.1.5,6,1466,1744613805.6444
142.250.183.2,192.168.1.5,6,1198,1744613805.6444
142.250.183.2,192.168.1.5,6,54,1744613805.6954
142.250.183.2,192.168.1.5,6,1032,1744613805.6954
142.250.183.2,192.168.1.5,17,66,1744613805.733045
192.168.1.5,142.250.183.2,6,54,1744613805.7362
192.168.1.5,142.250.183.2,6,54,1744613805.644635
192.168.1.5,142.250.183.2,17,77,1744613805.644952
192.168.1.5,142.250.183.2,6,128,1744613805.650599
34.139.124.58,192.168.1.5,6,54,1744613805.66618
192.168.1.5,34.139.124.58,6,54,1744613805.666244
